student_id,cat_marks,exam_marks,total_marks,free_time,study_time,days_absent
1,25,40,65,6,6,2
2,13,18,31,4,2,7
3,28,50,78,5,8,1
4,10,30,40,3,2,5
5,28,52,80,7,8,0
6,15,42,57,5,4,3
7,11,39,50,4,3,4
8,17,49,66,6,6,2
9,19,45,64,6,6,2
10,10,30,40,4,2,4
11,22,52,74,6,7,1
12,15,42,57,5,4,3
13,17,35,52,5,3,4
14,20,43,63,6,5,2
15,13,33,46,4,2,4
16,17,43,60,6,5,2
17,9,22,31,3,1,6
18,15,45,60,6,5,2
19,23,49,72,7,7,1
20,20,42,62,6,5,2
21,14,38,52,5,3,4
22,16,40,56,5,4,3
23,15,38,53,5,3,4
24,25,49,74,7,8,1
25,13,33,46,4,2,5
26,14,38,52,5,3,4
27,22,47,69,6,6,1
28,5,16,21,2,1,7
29,11,28,39,3,2,5
30,23,51,74,7,7,1
31,14,39,53,5,3,4
32,17,46,63,6,5,2
33,23,50,73,7,6,1
34,28,60,88,8,9,0
35,21,41,62,6,5,2
36,20,49,69,6,6,1
37,7,20,27,2,1,7
38,11,31,42,4,2,5
39,20,44,64,6,5,2
40,15,40,55,5,4,3
41,24,58,82,8,7,0
42,29,60,89,8,9,0
43,16,43,59,5,4,3
44,7,20,27,2,1,7
45,9,23,32,3,1,6
46,13,31,44,4,2,5
47,28,60,88,8,9,0
48,18,48,66,6,6,1
49,20,44,64,6,5,2
50,16,42,58,5,4,3
51,14,38,52,5,3,4
52,21,40,70,7,7,1
53,22,39,61,6,5,2
54,14,36,50,5,3,4
55,17,44,61,6,5,2
56,21,44,65,6,5,2
57,19,48,67,6,6,1
58,12,30,42,4,2,5
59,13,31,44,4,2,5
60,21,45,66,6,6,1
61,10,27,37,3,2,6
62,15,41,56,5,4,3
63,17,42,59,5,4,3
64,11,29,40,4,2,5
65,13,30,43,4,2,5
66,26,52,78,7,8,0
67,10,25,35,3,1,6
68,22,41,63,6,5,2
69,13,34,47,4,2,4
70,18,44,62,6,5,2
71,4,18,22,2,1,7
72,15,40,55,5,4,3
73,11,33,44,4,2,4
74,27,50,77,7,7,0
75,19,44,63,6,5,2
76,12,34,46,4,2,4
77,14,37,51,5,3,4
78,20,45,65,6,5,2
79,18,45,63,6,5,2
80,13,35,48,4,2,4
81,19,48,67,6,6,1
82,26,52,78,7,8,0
83,16,44,60,6,5,2
84,6,20,26,2,1,7
85,14,40,54,5,3,4
86,20,47,67,6,6,2
87,7,26,33,3,1,7
88,11,30,41,4,2,5
89,22,46,68,6,6,1
90,17,43,60,6,5,2
91,11,32,43,4,2,5
92,21,44,65,6,6,1
93,26,49,75,7,7,0
94,5,25,30,3,1,6
95,23,45,68,6,6,1
96,25,52,77,7,8,0
97,18,40,58,5,4,3
98,20,43,63,6,5,2
99,24,48,72,7,6,1
